adad,another day another dollar
adih,another day in hell
adip,another day in paradise
aeap,as early as possible
afaicr,as far as i can recall
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afap,as far as possible
bbiab,be back in a bit
bbl,be back later 
bbs,be back soon
bff,best friends forever
bfn,bye for now
bofh,bastard operator from hell
brb,be right back
bsod,blue screen of death
btdt,been there done that
btw,by the way
cmiiw,correct me if i'm wrong
cu,see you
dftt,don't feed the trolls
dgaf,don't give a fuck
diaf,die in a fire
dnd,do not disturb
doa,dead on arrival
eta,estimated time of arrival
ffs,for fuck's sake
fmcdh,from my cold dead hands
fml,fuck my life.
foad,fuck off and die
foaf,friend of a friend
ftfy,fixed that for you
ftl,for the loss
ftw,for the win
fwiw,for what it's worth
fyi,for your information
g2g,got to go
gbtw,get back to work
gf,great fight
gfu,good for you
gfy,go fuck yourself
gg,good game
ggs,good games
gj,good job
gl,good luck
gmta,great minds think alike
gtfo,get the fuck out
gtg,got to go
hf,have fun
hth,hope this helps
ianal,i am not a lawyer
ibtl,in before the lock
idk,i don't know
idk,I don't know
iht,i had to
iirc,if i remember correctly
iiuc,if i understand correctly
ily,i love you
imao,in my arrogant opinion
imho,in my humble opinion
imnsho,in my not so humble opinion
imo,in my opinion
iono,i don't know
iow,in other words
irc,internet relay chat
irl,in real life
itym,i think you mean
iwsn,i want sex now
iykwim,if you know what i mean
jas,just a sec
jftr,just for the record
kos,kill on sight
lfg,looking for group
lfm,looking for more
lmirl,let's meet in real life
lmk,let me know
ltns,long time no see
lylab,love you like a brother
lylas,love you like a sister
mfw,my face when
motd,message of the day
mtfbwy,may the force be with you
myob,mind your own business
n1,nice one
ngl,not gonna lie
nifoc,naked in front of computer
nm,never mind
np,no problem
nsfw,naughty
nsoh,no sense of humor
nvm,never mind
ofn,old freaking news
oic,oh i see
omw,on my way
onoz,oh no
op,original poster
os,operating system
otb,off to bed
ot,off topic
otoh,on the other hand
otp,on the phone
pita,pain in the ass
plmk,please let me know
pmsl,pissing myself laughing
pov,point of view
ptkfgs,punch the keys for god's sake
rl,real life
rms,ride me sideways
rofl,haha
rsn,real soon now
rtfb,read the fucking binary
rtfs,read the fucking source
sfw,safe for work
smh,shaking my head
sohf,sense of humor failure
stfu,shut the fuck up
tbf,time between failures
tbh,to be honest
tgif,thank god it's friday
tg,that's great
tia,thanks in advance
timwtk,this inquiring mind wants to know
tins,there is no spoon
tl;dr,too long; didn't read
tmi,too much information
tos,terms of service
ttbomk,to the best of my knowledge
ttfn,ta ta for now
ttyl,talk to you later
ttyn,talk to you never
ttys,talk to you soon
ty,thank you
tyt,take your time
tyvm,thank you very much
ugo,you got owned
utfse,use the fucking search engine
wb,welcome back
wrt,with respect to
wtb,want to buy
wtb,want to buy
wtf,what the fuck
wtg,way to go
wth,what the hell
wts,want to sell
wtt,want to trade
wug,what you got?
yagni,you ain't gonna need it.
yagtoh,you are going to own him.
yec,young earth creationism
ygm,you've got mail.
yhbt,you have been trolled.
ykw,you know what?
ymmv,your mileage may vary.
yoyo,you're on your own
ytmnd,you're the man now dog
yw,you're welcome.
