10q,thank you
10x,thanks
1337,elite
2day,today
2gva,together
2moro,tomorrow
2morrow,tomorrow
2moz,tomorrow
2night,tonight
2nite,tonight
<3,love
4eva,forever
5-0,police
5o,police
5-O,police
abt,about
afta,have to
agen,again
aint,ain't
anyways,anyway
apr,April
atm,now
aug,August
awol,away
b4,before
bbq,barbecue
bby,baby
b/c,because
bc,because
bcuz,because
b-day,birthday
bday,birthday
birfday,birthday
blate,blatently
blates,blatently
bles,bless
blu,blue
boi,boy
bringin,bringing
bro,brother
bt,but
cnt,can't
cont,continued
convo,conversation
cryin,crying
cum,come
cus,curse
cussin,cursing
cusz,because
cuz,because
da,the
dat,that
dec,December
deez,these
def,definitely
dey,they
dint,didn't
dis,this
dl,download
dnt,don't
doin,doing
dossin,dossing
dun,don't
ep,episode
eps,episodes
es,he's
every1,everyone
everytim,every time
evry1,everyone
evry,every
ez,easy
f9,fine
fakin,faking
fallin,falling
fb,Facebook
fck,fuck
fckn,fucking
feb,February
fkn,fucking
fo,for
fo,for
frm,from
fucken,fucking
gd,good
gen,again
getn,getting
goin,going
govt,government
gr8,great
gt,get
gud,good
hella,very
hpe,hope
hse,house
hses,houses
i'ma,i'll
ima,I'll
imma,I'll
incl,including
inna,in a
innit,isn't it
int,isn't
ive,I've
jan,January
j/k,joking
jk,joking
jul,July
jun,June
jus,just
kkk,ok
kk,ok
kno,know
kthx,thanks
l8r,later
lik,like
lmao,haha
lst,last
lurv,love
lurve,love
luv,love
luvz,loves
lv,love
lyk,like
m8,mate
mar,March
mor,more
n't,n't
nd,and
ne1,anyone
nigga,nigger
nite,night
nothin,nothing
nov,November
nsfw,naughty
ntn,nothing
nuff,enough
nutn,nothing
nw,now
nyt,night
nyts,nights
obvblates,assuredly
obv,obviously
obvs,obviously
oct,October
onoz,oh no
pic,picture
pics,pictures
plez,please
pls,please
plz,please
ppl,people
pwned,owned
pw,password
pz,peace
sep,September
sho,sure
sis,sister
sq,square
sth,something
str8,straight
sumn,something
takin,taking
tellin,telling
tha,the
thn,then
thnx,thanks
tho,though
thro,through
thru,through
tht,that
thx,thanks
tnx,thanks
totes,totally
tryna,trying to
twtr,twitter
twt,tweet
tymz,times
urs,yours
ur,you're
vids,videos
v.,very
w8,wait
wanna,want to
w/e,weekend
w/e,whatever
whts,what's
wif,with
wil,will
wit,with
w/o,without
w/o,without
w/,with
ya,your
yea,yeah
yhuu,you
yuhuu,yes
yuhu,yes
yu,you
